id_annonce,price
35160615,257100.6097069776
35830639,256816.29120858482
36016657,257034.83702257727
35759225,256131.9071978282
35252229,256916.65414631375
35784463,257058.35273703898
35888589,257070.98636205352
35839901,257097.44957144937
35832257,257018.44449612428
36048903,257064.96411947728
36011167,257067.95613161862
35775835,254853.6730623649
35876281,257015.37930620616
36017443,256999.79199741382
35889895,256807.56877558806
35856951,257040.31534336874
35784241,257065.1449245311
35903495,257099.4905176552
35840075,257074.55492482724
35747951,255799.4106658866
35858979,256992.4797978671
35738909,257062.66224050542
35845325,257063.3638852503
35772251,257079.1048890053
36026445,257065.54077207195
35874507,257059.94916514252
36038985,257046.17163348527
35903657,257068.47754258657
35759525,256679.67276135748
35778763,257056.00841724587
35795649,257049.22042855233
35901957,257059.26088300967
35875533,257073.62203775352
35858841,256920.85897914477
35870739,257031.2455733138
35825711,257019.2761666231
36037445,257066.72113864616
35835639,257035.0802949337
35902247,256817.81749699652
35791157,257013.38050018204
35889457,257054.84922255136
35999493,257073.24317877303
35808205,257029.16560219944
35971153,257044.25958459682
35852789,257038.28704564803
35875167,257161.02491544385
36041397,257056.70465640826
36035395,257055.28228938422
35863631,255882.2134674088
35852607,257034.2028399996
35760605,254626.17247825206
35812215,257079.0458628324
35964293,256921.03393535022
35787115,255982.9182816968
35881399,256813.21335922636
36027199,257079.23501792128
36049949,254782.8106655665
35814877,257026.63997066405
35809961,257000.45100407
35964099,257086.8301228233
34849441,255465.5964529734
35821943,254007.54107346886
36079937,256833.17520597644
35867865,256795.30507349456
36051475,257063.89021875977
36048103,257055.182950419
36034103,257214.23687851394
35812747,253999.6023152682
35886241,257077.23556195566
36040987,255331.275672609
35765365,257076.7917838908
35831875,257046.67074571297
35929777,257060.40678137314
35761189,257038.820949842
36040913,256999.1018980795
35965123,257035.1362440087
35862247,257031.4681557424
35851681,257044.6013730072
35827523,257014.09846501856
35891391,257054.95680338138
36063431,256802.70771131694
35656587,254610.0445446682
35797575,257060.94489937887
35800105,254941.74946106554
35896991,257065.7825384174
35962101,257043.56117143962
30821887,257057.70664481836
35745687,257016.61504713434
36058613,257044.4902637814
35775935,256984.19628698443
36035667,256982.76753027644
35772735,256964.53847180633
35821543,257064.42121521785
35792463,255581.8345894996
35881393,257074.69284572883
36061417,257011.11729490236
35989297,257056.46403092143
31675585,255841.34349966224
35804495,257014.60522088365
36061077,257062.86858990404
35767115,257061.83920097418
35884711,257047.13634142515
35846117,257054.15246533958
36045745,257042.6159153649
35758317,257020.47778994928
36022135,257054.9944424619
35868571,257062.87718407947
35758333,257048.99918950276
35776029,257061.24870585147
31658435,257001.9411632753
36095547,257069.2437510341
35971129,257027.7055487963
35779203,256988.8186291329
35872763,257083.89286632993
35820431,255853.71174708672
36052293,254536.03598480666
35971329,257033.82376206265
36010107,257059.30647285248
35871561,257030.58492774988
36008977,257002.375053964
35837337,256895.48829894394
36000031,257051.08668575366
35775521,257066.00381199084
35987475,257077.95199358684
36010311,257077.4422613027
35795245,257058.69059056317
35795879,257071.99364882856
35860945,257065.42439994458
36059091,257067.5613444969
35838091,257020.82355698358
35852105,256974.11129332217
35838483,257042.76927568734
35971403,256879.65020252354
35814827,257049.17641129994
36056439,256990.37233418683
35864463,257078.02019638455
35745625,257087.98038098728
35698035,257013.37758341795
35971109,255383.66888660647
35782199,257054.25334320407
35811357,257036.09950821204
35830469,257116.13810659395
35874463,257057.35595788932
35781955,257086.2940035604
35844971,257044.91722466642
35930993,257064.14842423817
35962461,257090.3575900295
35886801,257067.2307522905
35829533,257032.37675593697
36033543,257126.19591341226
35855575,257052.92078200993
35775953,256792.69650429406
31503911,254557.19255908893
36044181,256978.00042347758
35820189,257082.71042308508
35885501,257071.6820442762
